index,producer->batch_size,producer->linger_ms,producer->buffer_memory,producer->compression_type,producer->topics,broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,consumer->fetch_wait_max_ms
0,169550,59,8862781,lz4,9,3,2,159,327
1,194027,18,12456982,gzip,2,9,5,425,118
2,141063,76,7031483,lz4,7,16,14,135,226
3,95794,30,25065833,gzip,1,13,13,281,358
4,212093,99,9119279,snappy,1,4,15,292,355
5,32249,24,32428644,lz4,5,10,8,21,342
6,119536,59,26444143,snappy,3,1,18,128,420
7,91514,100,15760271,gzip,8,15,21,112,138
8,173234,67,14673675,snappy,5,17,8,225,130
9,132240,16,9158035,snappy,4,15,9,129,315
10,30817,23,18690285,gzip,1,3,12,306,22
11,105246,57,10726261,gzip,8,4,17,440,351
12,19716,34,31492872,gzip,3,9,13,428,422
13,20025,89,27741447,lz4,1,5,24,89,478
14,259228,2,30678427,gzip,6,13,18,193,24
15,74445,59,22494384,gzip,1,12,12,278,178
16,200821,12,24854147,gzip,4,10,7,425,67
17,37778,81,5677283,lz4,9,13,20,256,436
18,256494,44,2441796,gzip,8,11,6,99,39
19,244841,38,33418129,lz4,4,6,1,381,459
20,88638,60,13200718,gzip,4,18,1,234,66
21,8591,52,14634231,None,1,2,10,81,385
22,84654,17,18708447,snappy,2,3,17,368,46
23,159742,45,5572720,gzip,10,12,1,22,40
24,229312,31,27835466,None,9,5,16,72,472
25,159687,16,14026471,gzip,2,1,7,484,223
26,156519,65,31307961,snappy,3,15,2,207,168
27,211192,31,26394535,snappy,2,12,13,264,410
28,70107,43,12296772,gzip,1,12,15,223,410
29,73464,15,24308742,None,4,9,8,236,192
30,103049,18,24906145,snappy,5,8,16,360,85
31,5253,77,13349775,gzip,6,12,10,19,23
32,62504,87,17522490,gzip,10,19,3,327,206
33,254058,25,14040198,snappy,7,11,13,132,440
34,144821,63,29755910,lz4,10,3,3,35,103
35,181392,35,23945248,snappy,2,2,12,108,289
36,218907,27,17476216,snappy,3,6,10,83,281
37,21178,68,1358022,gzip,10,10,10,379,233
38,159639,37,21732645,gzip,4,5,8,201,279
39,205714,90,17256136,gzip,6,18,11,320,43
40,253281,7,19163092,lz4,4,18,16,3,152
41,207753,67,32671252,gzip,9,2,10,474,177
42,102272,9,30219439,snappy,2,2,13,102,129
43,208879,56,17252322,None,3,2,2,500,41
44,124773,40,12847284,gzip,1,13,21,472,247
45,71948,72,2971188,lz4,3,12,16,453,274
46,194441,34,15792312,snappy,2,13,7,226,82
47,213981,59,23572078,None,8,1,1,128,288
48,211980,14,14790911,gzip,7,13,4,433,36
49,247808,21,23114578,lz4,10,7,11,361,73
