index,producer->batch_size,producer->linger_ms,producer->buffer_memory,producer->compression_type,producer->topics,broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,consumer->fetch_wait_max_ms
0,169550,59,8862781,lz4,9,3,2,159,327
1,194027,18,12456982,gzip,2,9,5,425,118
2,141063,76,7031483,lz4,7,16,14,135,226
3,95794,30,25065833,gzip,1,13,13,281,358
4,212093,99,9119279,snappy,1,4,15,292,355
5,32249,24,32428644,lz4,5,10,8,21,342
6,119536,59,26444143,snappy,3,1,18,128,420
7,91514,100,15760271,gzip,8,15,21,112,138
8,173234,67,14673675,snappy,5,17,8,225,130
9,132240,16,9158035,snappy,4,15,9,129,315
10,30817,23,18690285,gzip,1,3,12,306,22
11,105246,57,10726261,gzip,8,4,17,440,351
12,19716,34,31492872,gzip,3,9,13,428,422
13,20025,89,27741447,lz4,1,5,24,89,478
14,259228,2,30678427,gzip,6,13,18,193,24
15,74445,59,22494384,gzip,1,12,12,278,178
16,200821,12,24854147,gzip,4,10,7,425,67
17,37778,81,5677283,lz4,9,13,20,256,436
18,256494,44,2441796,gzip,8,11,6,99,39
19,244841,38,33418129,lz4,4,6,1,381,459
20,88638,60,13200718,gzip,4,18,1,234,66
21,8591,52,14634231,none,1,2,10,81,385
22,84654,17,18708447,snappy,2,3,17,368,46
23,159742,45,5572720,gzip,10,12,1,22,40
24,229312,31,27835466,none,9,5,16,72,472
25,159687,16,14026471,gzip,2,1,7,484,223
26,156519,65,31307961,snappy,3,15,2,207,168
27,211192,31,26394535,snappy,2,12,13,264,410
28,70107,43,12296772,gzip,1,12,15,223,410
29,73464,15,24308742,none,4,9,8,236,192
30,103049,18,24906145,snappy,5,8,16,360,85
31,5253,77,13349775,gzip,6,12,10,19,23
32,62504,87,17522490,gzip,10,19,3,327,206
33,254058,25,14040198,snappy,7,11,13,132,440
34,144821,63,29755910,lz4,10,3,3,35,103
35,181392,35,23945248,snappy,2,2,12,108,289
36,218907,27,17476216,snappy,3,6,10,83,281
37,21178,68,1358022,gzip,10,10,10,379,233
38,159639,37,21732645,gzip,4,5,8,201,279
39,205714,90,17256136,gzip,6,18,11,320,43
40,253281,7,19163092,lz4,4,18,16,3,152
41,207753,67,32671252,gzip,9,2,10,474,177
42,102272,9,30219439,snappy,2,2,13,102,129
43,208879,56,17252322,none,3,2,2,500,41
44,124773,40,12847284,gzip,1,13,21,472,247
45,71948,72,2971188,lz4,3,12,16,453,274
46,194441,34,15792312,snappy,2,13,7,226,82
47,213981,59,23572078,none,8,1,1,128,288
48,211980,14,14790911,gzip,7,13,4,433,36
49,247808,21,23114578,lz4,10,7,11,361,73
50,162688,67,31204265,gzip,4,5,20,86,292
51,239971,64,27487557,none,6,13,20,461,307
52,212453,35,18730108,lz4,3,15,9,445,446
53,44738,34,2769681,gzip,3,1,22,95,141
54,130422,49,1789697,snappy,7,20,6,380,93
55,103298,63,25169836,gzip,9,14,12,493,193
56,259361,3,116257,gzip,10,3,8,448,12
57,186520,4,32297599,gzip,5,16,23,398,423
58,242328,75,27132479,snappy,6,2,1,347,147
59,245961,85,20405307,none,10,3,20,224,437
60,253525,79,15515331,none,5,2,3,258,267
61,37611,64,28964881,none,10,17,11,149,203
62,70903,85,28374495,gzip,3,3,5,59,53
63,31804,74,31669117,gzip,8,19,14,79,95
64,83960,52,6195399,snappy,7,1,2,369,198
65,138081,45,8652941,lz4,5,18,6,134,180
66,156636,42,13444326,none,8,7,16,184,162
67,230868,73,22045612,lz4,1,15,4,315,71
68,102106,50,25374008,gzip,9,17,22,242,173
69,31265,80,18314775,none,8,6,11,230,2
70,116129,42,29711848,none,7,1,4,203,271
71,261641,50,29429240,gzip,7,15,22,155,64
72,108091,72,24269991,snappy,8,12,5,332,103
73,215204,39,30868669,none,7,7,8,77,312
74,173828,55,12037407,lz4,1,11,17,393,365
75,128583,98,24881578,gzip,6,13,19,28,54
76,255673,80,1234917,none,3,8,17,373,269
77,139258,53,15288448,gzip,10,3,8,3,402
78,257947,8,17287192,gzip,8,7,1,178,241
79,209084,59,4639164,lz4,5,15,15,327,348
80,123383,78,31384810,none,8,20,24,157,401
81,205106,69,7262844,gzip,8,18,17,5,224
82,41224,12,4127260,lz4,10,15,5,105,197
83,119791,55,16090785,lz4,5,1,19,261,284
84,167276,100,26225187,gzip,5,16,6,9,181
85,27516,76,11373098,snappy,3,14,3,265,296
86,53475,15,18728433,snappy,8,15,3,68,212
87,138381,29,7099799,lz4,3,3,4,286,33
88,8242,31,8711792,snappy,6,13,21,180,236
89,26554,73,839980,snappy,7,18,13,178,183
90,51002,28,30723409,none,7,13,1,109,384
91,88578,22,5970355,gzip,6,19,19,415,397
92,78015,85,8316713,snappy,7,1,7,120,44
93,173206,18,5893038,none,5,15,17,369,313
94,250511,27,24644770,snappy,3,16,23,57,16
95,215684,44,20365262,none,2,16,24,126,359
96,108295,22,7611042,gzip,4,20,18,67,93
97,255908,54,23283267,gzip,8,5,24,113,314
98,14391,26,29259152,gzip,6,19,12,206,218
99,191115,35,11700919,snappy,6,19,14,74,49
100,128283,82,26962777,none,9,3,18,376,129
101,152118,78,14983267,gzip,9,16,6,231,89
102,193921,14,5599160,lz4,3,10,14,259,386
103,186883,54,18470933,none,7,11,4,305,84
104,45194,59,2904449,lz4,3,8,5,158,458
105,249876,83,12956040,gzip,2,15,12,60,380
106,24988,86,18820185,none,3,14,3,345,8
107,111646,70,30284471,lz4,8,7,18,275,495
108,170369,90,29194721,lz4,6,14,22,48,190
109,17614,63,28642613,lz4,7,19,1,92,2
110,234580,9,18001170,snappy,7,4,18,89,494
111,27260,12,21122971,none,9,4,10,362,128
112,251906,82,20601708,gzip,6,10,22,354,466
113,6895,22,4824999,snappy,10,2,3,30,100
114,1573,66,18797448,none,7,6,19,117,218
115,98997,86,11956770,gzip,6,17,11,324,429
116,202940,86,4194280,none,1,18,11,297,425
117,85628,4,17237175,lz4,4,8,21,500,308
118,68472,16,16253196,gzip,8,5,23,27,204
119,193690,77,33373526,gzip,5,14,10,431,243
