run_index,Latency,Throughput,gc_collection_count,gc_collection_time,jvm_loaded_class_count,jvm_total_loaded_class_count,last_gc_info_duration,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_ResponseSendTimeMs,network_request_FetchConsumer_TotalTimeMs,network_request_Produce_ResponseSendTimeMs,network_request_Produce_TemporaryMemoryBytes,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_committed_vm_size,os_open_fd_count,os_process_cpu_load,os_process_cpu_time,os_system_cpu_load,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_broker_topics_AllTopicsMessagesIn,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_purgatory_NumDelayedFetchRequests,threading_thread_count
0,3.01,0.02,6.4,63.6,7007.06,7137.2,15.49,192533931.87,71712131.82,50019.0,50011.0,5256.0,1434.4,5254.5,0.89,0.99,7352411018.08,190.23,0.02,13666000000.0,0.59,5695.8,251104.37,16.91,78.19,11.4,24.77,68.61
1,1.78,0.02,5.9,63.9,6995.72,7119.2,18.73,188534403.07,71135449.87,64504.0,64495.0,16814.0,991.18,16814.0,0.9,0.99,7354020864.0,187.46,0.02,11342000000.0,0.5,5685.01,523213.3,17.18,101.7,17.1,26.71,68.32
2,3.28,0.02,6.4,74.2,7014.73,7146.9,22.48,191229327.16,71627635.9,53240.0,53235.5,4185.0,1899.21,4185.0,0.89,0.99,7353741547.83,190.74,0.02,13913000000.0,0.6,4749.37,203797.73,16.97,80.22,8.6,27.23,68.64
3,2.92,0.03,6.7,72.9,6994.82,7121.0,24.11,189366288.44,71730345.43,51778.5,51774.0,8148.5,996.31,8148.0,0.9,0.99,7354998836.75,190.85,0.02,14600000000.0,0.62,5453.65,239167.35,16.53,76.61,16.4,25.8,68.73
4,3.58,0.02,6.2,65.3,6982.51,7112.8,18.01,194663490.14,71360422.61,49170.0,49165.5,4050.0,1912.91,4049.0,0.88,0.99,7353940756.17,190.37,0.02,13913000000.0,0.61,4636.71,200732.3,16.89,74.14,8.52,26.52,68.65
5,2.24,0.73,7.0,83.1,7000.48,7132.5,18.38,189715422.95,71702303.01,55538.5,55533.5,8210.5,993.22,8210.0,0.88,0.99,7352712579.88,190.01,0.02,14831000000.0,0.63,6757.28,300488.79,15.14,76.11,15.04,25.7,68.56
6,2.79,0.03,6.8,75.2,6991.58,7122.1,23.31,183282584.02,71533224.04,50739.5,50734.5,5297.0,1434.84,5297.0,0.89,0.99,7354322360.63,190.24,0.02,13717000000.0,0.6,5484.12,242547.16,16.55,78.32,11.15,25.73,68.67
7,3.0,0.36,6.1,79.0,6997.21,7126.8,21.28,197928883.07,71566563.67,51187.5,51177.0,3902.5,1972.98,3901.5,0.89,0.99,7354053219.3,190.52,0.02,13866000000.0,0.63,2892.08,142645.35,14.48,76.39,7.07,25.08,68.69
8,2.97,0.48,6.5,66.3,7009.03,7137.2,18.06,187124547.56,71581700.29,53751.5,53744.5,4540.0,1672.41,4539.0,0.89,0.99,7354693945.41,190.61,0.02,14054000000.0,0.59,4025.13,197242.15,13.54,74.8,7.76,24.74,68.64
9,2.22,0.03,6.4,69.2,6990.05,7118.4,19.53,184426431.51,71775158.88,51612.5,51604.0,8211.0,991.92,8210.5,0.9,0.99,7352983108.27,190.27,0.02,14908000000.0,0.62,7514.65,341715.68,17.17,79.23,17.09,25.26,68.57
10,2.81,0.03,6.7,82.8,6997.79,7123.4,24.96,183977138.51,71750990.59,49342.5,49340.0,8152.0,993.2,8151.5,0.89,0.99,7354605785.21,191.15,0.02,15097000000.0,0.63,5292.49,236435.39,16.02,70.85,15.93,25.07,68.69
11,3.48,0.02,6.1,57.0,6993.54,7127.1,16.2,194847249.86,71665490.39,51334.0,51327.5,5569.0,1430.92,5569.0,0.88,0.99,7354115875.68,190.32,0.02,14865000000.0,0.6,4080.12,173054.17,16.46,71.81,11.1,25.64,68.71
12,3.43,0.02,6.6,77.3,6962.07,7097.1,24.95,185298142.22,71375050.65,49434.5,49427.5,5578.5,1408.45,5578.5,0.9,0.99,7350463807.61,189.87,0.02,14959000000.0,0.6,3950.42,166689.33,15.75,64.19,10.79,26.24,68.63
13,3.5,0.02,6.5,66.6,6986.36,7112.5,15.18,200943870.9,71488849.7,51849.0,51846.0,4254.0,1906.04,4253.5,0.89,0.99,7354148367.52,190.0,0.02,14743000000.0,0.6,4416.98,189934.9,15.82,72.84,8.0,26.59,68.61
14,3.01,0.03,6.5,68.7,6981.13,7108.9,16.37,186851936.83,71567219.99,45766.5,45762.0,8014.0,991.2,8013.5,0.88,0.99,7353500358.59,190.14,0.02,14674000000.0,0.66,5368.89,235886.2,16.23,67.96,16.15,24.94,68.61
15,3.62,0.02,6.4,63.1,7004.23,7133.1,16.0,185306532.97,71640717.24,48085.5,48078.5,5453.5,1435.04,5453.0,0.89,0.99,7354215312.29,190.29,0.02,14434000000.0,0.61,4125.25,174987.94,16.65,69.38,11.21,26.44,68.75
16,2.95,0.03,6.5,67.4,6975.79,7102.5,18.26,188547403.82,71586430.64,49219.0,49215.5,8224.5,991.18,8224.0,0.89,0.99,7352723409.45,190.15,0.02,15157000000.0,0.66,5424.9,239401.52,16.4,72.26,16.33,24.76,68.57
17,3.46,0.02,6.7,67.6,6982.67,7110.2,14.97,187325812.98,71375171.16,46761.5,46758.0,4016.0,1895.56,4015.5,0.89,0.99,7354161738.47,190.31,0.02,14691000000.0,0.62,4565.58,196454.89,16.31,71.74,8.28,25.23,68.63
18,1.85,0.02,5.8,64.2,6959.34,7088.0,19.19,185750741.85,70739059.3,54180.0,54177.0,7907.0,1415.64,7906.0,0.89,0.99,7351813141.72,186.89,0.02,12103000000.0,0.54,4562.01,421583.9,16.84,85.25,12.86,26.11,68.2
19,3.01,0.02,6.9,86.7,6987.84,7118.5,19.19,193248347.35,71533115.68,47816.5,47812.5,5621.5,1432.92,5621.0,0.89,0.99,7352693818.96,190.28,0.03,15971000000.0,0.68,5729.86,252714.71,17.01,70.48,11.46,25.75,68.58
20,3.35,0.02,6.3,89.4,6992.18,7124.2,23.28,189161574.25,71607304.32,48059.0,48054.5,5503.5,1431.88,5503.0,0.84,0.99,7353186744.63,190.24,0.02,15716000000.0,0.63,4246.1,183348.55,17.14,72.31,11.55,25.15,68.69
21,1.23,0.04,6.5,58.4,7012.76,7137.3,13.51,184062387.61,71962643.25,56143.5,56140.5,5438.0,,5435.5,0.89,0.99,7353266219.44,190.42,0.02,13748000000.0,0.57,15509.22,734610.95,16.15,85.64,10.89,24.98,68.6
22,2.22,0.03,6.6,71.9,6965.87,7091.1,17.59,181212956.75,71543796.79,46556.0,46548.5,8081.0,997.63,8079.5,0.88,0.99,7353414078.84,190.59,0.03,15499000000.0,0.66,6804.22,304810.17,15.57,66.93,15.47,24.77,68.47
23,3.57,0.02,6.6,72.6,6991.89,7128.2,16.83,184540478.72,71458484.7,45027.0,45020.0,5339.5,1433.2,5339.0,0.89,0.99,7350381555.59,190.03,0.02,15076000000.0,0.64,3791.77,162403.34,15.3,60.15,10.32,25.6,68.62
24,1.57,0.04,6.3,54.3,7010.88,7140.4,11.38,194646115.27,71995314.78,51837.0,51833.5,8068.5,,8068.5,0.89,0.99,7354034796.61,190.37,0.02,13756000000.0,0.58,16691.04,775038.18,17.01,77.88,16.84,26.13,68.61
